frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,48,4.840677966101695,6.8338983050847455
1,0.27027027027027023,34,48,4.840677966101695,6.8338983050847455
2,0.5405405405405405,34,48,4.840677966101695,6.8338983050847455
3,0.8108108108108107,34,48,4.840677966101695,6.8338983050847455
4,1.081081081081081,34,64,4.840677966101695,9.111864406779661
5,1.3513513513513513,34,64,4.840677966101695,9.111864406779661
6,1.6216216216216215,34,71,4.840677966101695,10.108474576271187
7,1.8918918918918919,34,76,4.840677966101695,10.820338983050847
8,2.162162162162162,34,80,4.840677966101695,11.389830508474576
9,2.4324324324324325,34,83,4.840677966101695,11.816949152542373
10,2.7027027027027026,34,85,4.840677966101695,12.101694915254237
11,2.972972972972973,34,88,4.840677966101695,12.528813559322034
12,3.243243243243243,34,90,4.840677966101695,12.813559322033898
13,3.513513513513513,34,94,4.840677966101695,13.383050847457627
14,3.7837837837837838,34,96,4.840677966101695,13.667796610169491
15,4.0540540540540535,34,99,4.840677966101695,14.094915254237288
16,4.324324324324324,34,103,4.840677966101695,14.664406779661016
17,4.594594594594595,34,106,4.840677966101695,15.091525423728815
18,4.864864864864865,34,108,4.840677966101695,15.376271186440679
19,5.135135135135135,34,110,4.840677966101695,15.661016949152543
20,5.405405405405405,34,112,4.840677966101695,15.945762711864408
21,5.675675675675675,34,112,4.840677966101695,15.945762711864408
22,5.945945945945946,34,113,4.840677966101695,16.08813559322034
23,6.216216216216216,34,113,4.840677966101695,16.08813559322034
24,6.486486486486486,34,113,4.840677966101695,16.08813559322034
25,6.756756756756756,34,112,4.840677966101695,15.945762711864408
26,7.027027027027026,34,112,4.840677966101695,15.945762711864408
27,7.297297297297297,34,116,4.840677966101695,16.515254237288136
28,7.5675675675675675,34,119,4.840677966101695,16.942372881355933
29,7.837837837837838,34,121,4.840677966101695,17.227118644067797
30,8.108108108108107,34,123,4.840677966101695,17.51186440677966
31,8.378378378378377,34,125,4.840677966101695,17.796610169491526
32,8.648648648648647,34,127,4.840677966101695,18.08135593220339
